Year,National,Jurisdiction,Count
2008,40,New South Wales,8
2009,37,New South Wales,12
2010,32,New South Wales,8
2011,49,New South Wales,18
2012,52,New South Wales,16
2013,27,New South Wales,8
2014,30,New South Wales,7
2015,38,New South Wales,12
2016,39,New South Wales,12
2017,52,New South Wales,21
2018,41,New South Wales,8
2019,32,New South Wales,10
2020,30,New South Wales,7
2008,40,Victoria,9
2009,37,Victoria,9
2010,32,Victoria,12
2011,49,Victoria,8
2012,52,Victoria,10
2013,27,Victoria,4
2014,30,Victoria,5
2015,38,Victoria,8
2016,39,Victoria,8
2017,52,Victoria,12
2018,41,Victoria,5
2019,32,Victoria,9
2020,30,Victoria,7
2008,40,Queensland,8
2009,37,Queensland,9
2010,32,Queensland,7
2011,49,Queensland,10
2012,52,Queensland,6
2013,27,Queensland,4
2014,30,Queensland,4
2015,38,Queensland,7
2016,39,Queensland,6
2017,52,Queensland,10
2018,41,Queensland,13
2019,32,Queensland,1
2020,30,Queensland,9
2008,40,South Australia,1
2009,37,South Australia,2
2010,32,South Australia,1
2011,49,South Australia,3
2012,52,South Australia,7
2013,27,South Australia,1
2014,30,South Australia,9
2015,38,South Australia,2
2016,39,South Australia,4
2017,52,South Australia,3
2018,41,South Australia,6
2019,32,South Australia,5
2020,30,South Australia,4
2008,40,Western Australia,11
2009,37,Western Australia,4
2010,32,Western Australia,1
2011,49,Western Australia,8
2012,52,Western Australia,8
2013,27,Western Australia,6
2014,30,Western Australia,3
2015,38,Western Australia,2
2016,39,Western Australia,8
2017,52,Western Australia,5
2018,41,Western Australia,3
2019,32,Western Australia,2
2020,30,Western Australia,1
2008,40,Tasmania,1
2009,37,Tasmania,1
2010,32,Tasmania,0
2011,49,Tasmania,1
2012,52,Tasmania,3
2013,27,Tasmania,2
2014,30,Tasmania,2
2015,38,Tasmania,4
2016,39,Tasmania,0
2017,52,Tasmania,0
2018,41,Tasmania,5
2019,32,Tasmania,0
2020,30,Tasmania,1
2008,40,Northern Territory,2
2009,37,Northern Territory,0
2010,32,Northern Territory,3
2011,49,Northern Territory,1
2012,52,Northern Territory,2
2013,27,Northern Territory,1
2014,30,Northern Territory,0
2015,38,Northern Territory,1
2016,39,Northern Territory,1
2017,52,Northern Territory,0
2018,41,Northern Territory,1
2019,32,Northern Territory,5
2020,30,Northern Territory,1
2008,40,Australian Capital Territory,0
2009,37,Australian Capital Territory,0
2010,32,Australian Capital Territory,0
2011,49,Australian Capital Territory,0
2012,52,Australian Capital Territory,0
2013,27,Australian Capital Territory,1
2014,30,Australian Capital Territory,0
2015,38,Australian Capital Territory,2
2016,39,Australian Capital Territory,0
2017,52,Australian Capital Territory,1
2018,41,Australian Capital Territory,0
2019,32,Australian Capital Territory,0
2020,30,Australian Capital Territory,0
