Year,State, RBT conducted , Positive RBT ,Licences,Number of drivers and motorcycle riders killed with a blood alcohol concentration (BAC) above the legal limit,Number of deaths from crashes involving a driver or motorcycle rider with a blood alcohol concentration (BAC) above the legal limit
2008,NSW,4204525,27368,,58.00,78.00
2009,NSW,4440862,26595,,68.00,94.00
2010,NSW,4637033,24411,"4,791,490",48.00,74.00
2011,NSW,4520010,22117,"4,893,688",52.00,70.00
2012,NSW,4735462,19982,"4,984,973",44.00,56.00
2013,NSW,5153136,20193,"5,060,762",46.00,53.00
2014,NSW,5916338,19531,"5,142,396",34.00,50.00
2015,NSW,6117884,18750,"5,245,755",36.00,45.00
2016,NSW,4908582,17442,"5,337,947",41.00,59.00
2017,NSW,4898088,18022,"5,439,711",42.00,55.00
2018,NSW,5538320,17989,"5,529,185",46.00,64.00
2019,NSW,6014549,17084,"5,648,327",, 
2008,Vic,3516900,19190,,,
2009,Vic,3641499,18246,,,
2010,Vic,3864296,16297,"3,978,322",,
2011,Vic,3513951,13925,"4,060,582",,
2012,Vic,3943320,13033,"4,135,725",,
2013,Vic,3482898,11442,"4,228,230",,
2014,Vic,3837417,12062,"4,310,687",,
2015,Vic,3063830,9315,"4,384,609",,
2016,Vic,3054233,10337,"4,474,502",,
2017,Vic,4230974,9969,"4,565,595",,
2018,Vic,3546342,7025,"4,665,764",,
2019,Vic,3238498,9235,"4,748,539",,
2008,Qld,2883056,26975,,58.00,88.00
2009,Qld,3098664,32696,,49.00,70.00
2010,Qld,3199185,33638,"3,132,341",41.00,50.00
2011,Qld,3369995,27264,"3,240,939",39.00,56.00
2012,Qld,3483717,25320,"3,301,004",34.00,45.00
2013,Qld,3696689,25291,"3,374,824",51.00,64.00
2014,Qld,3887768,23023,"3,384,271",26.00,43.00
2015,Qld,3574901,20357,"3,432,171",43.00,57.00
2016,Qld,3411115,18673,"3,505,706",37.00,46.00
2017,Qld,2766038,16489,"3,580,836",45.00,63.00
2018,Qld,2666717,16658,"3,657,643",31.00,43.00
2019,Qld,2692294,16481,"3,719,766",,
2008,SA,661839,10467,,21.00,39.00
2009,SA,716186,10954,,28.00,43.00
2010,SA,731645,10172,"1,130,920",21.00,28.00
2011,SA,604722,10034,"1,138,713",13.00,20.00
2012,SA,542219,9267,"1,151,821",14.00,19.00
2013,SA,525003,8890,"1,183,292",15.00,23.00
2014,SA,554882,8154,"1,196,554",14.00,15.00
2015,SA,563224,8208,"1,206,194",13.00,13.00
2016,SA,529440,5155,"1,219,494",9.00,9.00
2017,SA,591574,6007,"1,232,106",15.00,22.00
2018,SA,519770,4997,"1,246,015",10.00,12.00
2019,SA,563324,4985,"1,258,216",,
2008,WA,661386,14532,,,
2009,WA,512595,13039,,,
2010,WA,551911,11595,"1,566,465",,
2011,WA,603484,10644,"1,605,793",,
2012,WA,736209,9737,"1,623,226",,
2013,WA,897397,8636,"1,705,915",,
2014,WA,1236194,11034,"1,745,523",,
2015,WA,1596284,10049,"1,777,515",,
2016,WA,2014121,8912,"1,805,895",,
2017,WA,2548570,9062,"1,822,893",,
2018,WA,2094992,7550,"1,847,963",,
2019,WA,2314847,6876,"1,864,453",,
2008,Tas,678140,4563,,9.00,13.00
2009,Tas,613945,5120,,11.00,16.00
2010,Tas,606991,3895,"363,291",1.00,4.00
2011,Tas,559854,3527,"367,296",2.00,3.00
2012,Tas,550354,2916,"365,359",3.00,5.00
2013,Tas,551444,2782,"365,295",2.00,2.00
2014,Tas,475510,2585,"366,231",1.00,5.00
2015,Tas,469610,2327,"370,296",2.00,2.00
2016,Tas,512906,2322,"379,305",4.00,7.00
2017,Tas,462344,2070,"380,215",6.00,8.00
2018,Tas,450715,1723,"387,773",5.00,6.00
2019,Tas,386687,1805,"398,452",,
2008,NT ,111662,9460,,10.00,14.00
2009,NT ,159374,10990,,9.00,14.00
2010,NT ,181626,10842,"132,561",15.00,17.00
2011,NT ,176358,8914,"133,035",8.00,13.00
2012,NT ,167667,9332,"138,077",10.00,16.00
2013,NT ,156719,12395,"146,404",4.00,7.00
2014,NT ,175914,13562,"150,653",7.00,15.00
2015,NT ,181843,14192,"152,268",6.00,16.00
2016,NT ,171618,7571,"154,405",12.00,18.00
2017,NT ,199016,7846,"156,344",4.00,4.00
2018,NT ,143408,7672,"157,296",7.00,16.00
2019,NT ,155950,7775,"156,437",,
2008,ACT,89354,1887,,,
2009,ACT,88403,1628,,,
2010,ACT,97612,1447,"287,134",,
2011,ACT,100217,1488,"294,174",,
2012,ACT,90817,1418,"301,841",0.00,2.00
2013,ACT,129577,1399,"307,834",2.00,3.00
2014,ACT,147552,1267,"314,244",1.00,1.00
2015,ACT,121416,1134,"312,267",1.00,1.00
2016,ACT,116490,1005,"323,285",1.00,1.00
2017,ACT,88929,1057,"324,439",0.00,0.00
2018,ACT,89989,1114,"330,574",1.00,1.00
2019,ACT,90248,959,"329,637",,
